game,season,home_team,away_team,starting_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4
201310310LAC,2014,LAC,GSW,15,Byron Mullens,Darren Collison,DeAndre Jordan,Jamal Crawford,Matt Barnes,Andre Iguodala,Draymond Green,Jermaine O'Neal,Marreese Speights,Stephen Curry
201310310LAC,2014,LAC,GSW,17,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley,Andre Iguodala,Andrew Bogut,David Lee,Klay Thompson,Stephen Curry
201310310LAC,2014,GSW,LAC,22,Andre Iguodala,David Lee,Draymond Green,Klay Thompson,Stephen Curry,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley
201310310LAC,2014,GSW,LAC,24,Andre Iguodala,David Lee,Draymond Green,Klay Thompson,Toney Douglas,Blake Griffin,Chris Paul,J.J. Redick,Jamal Crawford,Jared Dudley
201310310LAC,2014,GSW,LAC,25,Andre Iguodala,Andrew Bogut,David Lee,Klay Thompson,Stephen Curry,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley
201310310LAC,2014,LAC,GSW,27,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Matt Barnes,Andre Iguodala,Andrew Bogut,David Lee,Klay Thompson,Stephen Curry
201310310LAC,2014,LAC,GSW,31,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Matt Barnes,Andre Iguodala,Andrew Bogut,Marreese Speights,Stephen Curry,Toney Douglas
201310310LAC,2014,GSW,LAC,32,Andre Iguodala,Draymond Green,Jermaine O'Neal,Marreese Speights,Toney Douglas,Blake Griffin,Chris Paul,DeAndre Jordan,Jamal Crawford,Matt Barnes
201310310LAC,2014,GSW,LAC,33,Andre Iguodala,Draymond Green,Jermaine O'Neal,Marreese Speights,Toney Douglas,Byron Mullens,Darren Collison,DeAndre Jordan,Jamal Crawford,Matt Barnes
201310310LAC,2014,GSW,LAC,36,Andre Iguodala,Draymond Green,Jermaine O'Neal,Klay Thompson,Toney Douglas,Byron Mullens,Darren Collison,DeAndre Jordan,Jamal Crawford,Jared Dudley
201310310LAC,2014,GSW,LAC,37,Draymond Green,Jermaine O'Neal,Kent Bazemore,Klay Thompson,Stephen Curry,Byron Mullens,Darren Collison,DeAndre Jordan,Jamal Crawford,Jared Dudley
201310310LAC,2014,GSW,LAC,39,Andre Iguodala,Draymond Green,Jermaine O'Neal,Klay Thompson,Stephen Curry,Blake Griffin,Chris Paul,DeAndre Jordan,Jamal Crawford,Jared Dudley
