game,season,home_team,away_team,starting_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,outcome
201310310LAC,2014,LAC,GSW,14,Byron Mullens,Darren Collison,Jamal Crawford,Matt Barnes,Ryan Hollins,Andre Iguodala,Draymond Green,Jermaine O'Neal,Marreese Speights,Stephen Curry,-1
201310310LAC,2014,LAC,GSW,15,Byron Mullens,Darren Collison,DeAndre Jordan,Jamal Crawford,Matt Barnes,Andre Iguodala,Draymond Green,Jermaine O'Neal,Marreese Speights,Stephen Curry,1
201310310LAC,2014,LAC,GSW,17,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley,Andre Iguodala,Andrew Bogut,David Lee,Klay Thompson,Stephen Curry,1
201310310LAC,2014,LAC,GSW,22,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley,Andre Iguodala,David Lee,Draymond Green,Klay Thompson,Stephen Curry,-1
201310310LAC,2014,LAC,GSW,24,Blake Griffin,Chris Paul,J.J. Redick,Jamal Crawford,Jared Dudley,Andre Iguodala,David Lee,Draymond Green,Klay Thompson,Toney Douglas,-1
201310310LAC,2014,LAC,GSW,25,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley,Andre Iguodala,Andrew Bogut,David Lee,Klay Thompson,Stephen Curry,-1
201310310LAC,2014,LAC,GSW,27,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Matt Barnes,Andre Iguodala,Andrew Bogut,David Lee,Klay Thompson,Stephen Curry,1
201310310LAC,2014,LAC,GSW,31,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Matt Barnes,Andre Iguodala,Andrew Bogut,Marreese Speights,Stephen Curry,Toney Douglas,1
201310310LAC,2014,LAC,GSW,32,Blake Griffin,Chris Paul,DeAndre Jordan,Jamal Crawford,Matt Barnes,Andre Iguodala,Draymond Green,Jermaine O'Neal,Marreese Speights,Toney Douglas,-1
201310310LAC,2014,LAC,GSW,33,Byron Mullens,Darren Collison,DeAndre Jordan,Jamal Crawford,Matt Barnes,Andre Iguodala,Draymond Green,Jermaine O'Neal,Marreese Speights,Toney Douglas,-1
201310310LAC,2014,LAC,GSW,36,Byron Mullens,Darren Collison,DeAndre Jordan,Jamal Crawford,Jared Dudley,Andre Iguodala,Draymond Green,Jermaine O'Neal,Klay Thompson,Toney Douglas,-1
201310310LAC,2014,LAC,GSW,37,Byron Mullens,Darren Collison,DeAndre Jordan,Jamal Crawford,Jared Dudley,Draymond Green,Jermaine O'Neal,Kent Bazemore,Klay Thompson,Stephen Curry,-1
201310310LAC,2014,LAC,GSW,39,Blake Griffin,Chris Paul,DeAndre Jordan,Jamal Crawford,Jared Dudley,Andre Iguodala,Draymond Green,Jermaine O'Neal,Klay Thompson,Stephen Curry,-1
201310310LAC,2014,LAC,GSW,40,Blake Griffin,Chris Paul,DeAndre Jordan,Jamal Crawford,Jared Dudley,Andre Iguodala,Andrew Bogut,David Lee,Klay Thompson,Stephen Curry,-1
201310310LAC,2014,LAC,GSW,43,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley,Andre Iguodala,Andrew Bogut,David Lee,Klay Thompson,Stephen Curry,1
201310310LAC,2014,LAC,GSW,45,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley,Matt Barnes,Andre Iguodala,Andrew Bogut,Draymond Green,Klay Thompson,Stephen Curry,-1
201310310LAC,2014,LAC,GSW,47,Chris Paul,DeAndre Jordan,J.J. Redick,Jamal Crawford,Jared Dudley,Andre Iguodala,Andrew Bogut,Draymond Green,Klay Thompson,Stephen Curry,-1
201311010SAC,2014,SAC,LAC,0,DeMarcus Cousins,Greivis Vasquez,John Salmons,Marcus Thornton,Patrick Patterson,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley,1
201311010SAC,2014,SAC,LAC,6,DeMarcus Cousins,Greivis Vasquez,John Salmons,Marcus Thornton,Patrick Patterson,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Matt Barnes,-1
201311010SAC,2014,SAC,LAC,9,DeMarcus Cousins,Isaiah Thomas,Jason Thompson,John Salmons,Marcus Thornton,Blake Griffin,Chris Paul,DeAndre Jordan,Jamal Crawford,Matt Barnes,-1
201311010SAC,2014,SAC,LAC,10,Ben McLemore,DeMarcus Cousins,Isaiah Thomas,Jason Thompson,John Salmons,Blake Griffin,Darren Collison,DeAndre Jordan,Jamal Crawford,Matt Barnes,-1
201311010SAC,2014,SAC,LAC,11,Ben McLemore,Chuck Hayes,Isaiah Thomas,Jason Thompson,Travis Outlaw,Blake Griffin,Byron Mullens,Darren Collison,Jamal Crawford,Matt Barnes,-1
201311010SAC,2014,SAC,LAC,12,Ben McLemore,Chuck Hayes,Isaiah Thomas,Jason Thompson,Travis Outlaw,Byron Mullens,Darren Collison,Jamal Crawford,Matt Barnes,Ryan Hollins,-1
201311010SAC,2014,SAC,LAC,15,Chuck Hayes,Isaiah Thomas,Jason Thompson,Marcus Thornton,Travis Outlaw,Byron Mullens,Darren Collison,Jamal Crawford,Matt Barnes,Ryan Hollins,-1
201311010SAC,2014,SAC,LAC,16,DeMarcus Cousins,Isaiah Thomas,Jason Thompson,Marcus Thornton,Travis Outlaw,Byron Mullens,Darren Collison,DeAndre Jordan,Jamal Crawford,Matt Barnes,1
201311010SAC,2014,SAC,LAC,17,DeMarcus Cousins,Isaiah Thomas,Jason Thompson,Marcus Thornton,Travis Outlaw,Blake Griffin,Chris Paul,DeAndre Jordan,Jamal Crawford,Matt Barnes,-1
201311010SAC,2014,SAC,LAC,18,DeMarcus Cousins,Isaiah Thomas,Jason Thompson,Marcus Thornton,Travis Outlaw,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley,1
201311010SAC,2014,SAC,LAC,19,DeMarcus Cousins,Isaiah Thomas,Jason Thompson,John Salmons,Marcus Thornton,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley,-1
201311010SAC,2014,SAC,LAC,21,DeMarcus Cousins,Greivis Vasquez,Jason Thompson,John Salmons,Marcus Thornton,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley,-1
201311010SAC,2014,SAC,LAC,22,DeMarcus Cousins,Greivis Vasquez,Isaiah Thomas,Jason Thompson,John Salmons,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley,-1
201311010SAC,2014,SAC,LAC,24,DeMarcus Cousins,Greivis Vasquez,John Salmons,Marcus Thornton,Patrick Patterson,Blake Griffin,Chris Paul,DeAndre Jordan,J.J. Redick,Jared Dudley,-1
201311010SAC,2014,SAC,LAC,31,DeMarcus Cousins,Greivis Vasquez,Jason Thompson,John Salmons,Marcus Thornton,Blake Griffin,Chris Paul,J.J. Redick,Jared Dudley,Ryan Hollins,1
201311010SAC,2014,SAC,LAC,32,DeMarcus Cousins,Isaiah Thomas,Jason Thompson,John Salmons,Marcus Thornton,Blake Griffin,Chris Paul,Jamal Crawford,Matt Barnes,Ryan Hollins,-1
201311010SAC,2014,SAC,LAC,33,DeMarcus Cousins,Isaiah Thomas,Jason Thompson,Marcus Thornton,Travis Outlaw,Blake Griffin,Chris Paul,Jamal Crawford,Matt Barnes,Ryan Hollins,-1
201311010SAC,2014,SAC,LAC,34,Ben McLemore,DeMarcus Cousins,Isaiah Thomas,Jason Thompson,Travis Outlaw,Blake Griffin,Byron Mullens,Chris Paul,Jamal Crawford,Matt Barnes,1
201311010SAC,2014,SAC,LAC,35,Ben McLemore,Chuck Hayes,Isaiah Thomas,Jason Thompson,Travis Outlaw,Blake Griffin,Byron Mullens,Chris Paul,Jamal Crawford,Matt Barnes,-1
